source,target,left,right,index
"{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}","{'name': 'draw_pixel', 'r': 6, 'y': 386.0335789339721, 'x': 2185.832781720118, 'index': 3, 'vy': -0.1633215915336502, 'vx': -0.2847356383646699, 'weight': 1}",False,True,0
"{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}","{'name': 'filling_loop', 'r': 9.171167510947729, 'y': 313.9409829806814, 'x': 1745.1032077718717, 'index': 4, 'vy': -0.1723437656924, 'vx': -0.2782578621546607, 'weight': 3}",False,True,1
"{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}","{'name': 'set_cx', 'r': 6, 'y': 336.97408155682143, 'x': 2121.502193050188, 'index': 5, 'vy': -0.16214946111117826, 'vx': -0.2839256751549163, 'weight': 1}",False,True,2
"{'name': 'draw_head', 'r': 9.171167510947729, 'y': 521.4771461377252, 'x': 2102.7126329212865, 'index': 6, 'vy': -0.16117216354990513, 'vx': -0.2842594032874795, 'weight': 3}","{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}",False,True,3
"{'name': 'draw_head', 'r': 9.171167510947729, 'y': 521.4771461377252, 'x': 2102.7126329212865, 'index': 6, 'vy': -0.16117216354990513, 'vx': -0.2842594032874795, 'weight': 3}","{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}",False,True,4
"{'name': 'draw_body', 'r': 9.171167510947729, 'y': 467.2701301191412, 'x': 2053.3354212484733, 'index': 7, 'vy': -0.16154194315692597, 'vx': -0.2838919368558429, 'weight': 3}","{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}",False,True,5
"{'name': 'draw_body', 'r': 9.171167510947729, 'y': 467.2701301191412, 'x': 2053.3354212484733, 'index': 7, 'vy': -0.16154194315692597, 'vx': -0.2838919368558429, 'weight': 3}","{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}",False,True,6
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'drawing_loop', 'r': 17.54952973764698, 'y': 407.2204670915736, 'x': 1906.956297791418, 'index': 9, 'vy': -0.16813784794678743, 'vx': -0.2869655356634027, 'weight': 7}",False,True,7
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,8
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'inc_bx', 'r': 7.462288826689832, 'y': 389.17461934803276, 'x': 1784.0783418570954, 'index': 11, 'vy': -0.16809005619839892, 'vx': -0.28693076366431275, 'weight': 2}",False,True,9
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}",False,True,10
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'drawing_loop', 'r': 17.54952973764698, 'y': 407.2204670915736, 'x': 1906.956297791418, 'index': 9, 'vy': -0.16813784794678743, 'vx': -0.2869655356634027, 'weight': 7}",False,True,11
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'inc_bx', 'r': 7.462288826689832, 'y': 389.17461934803276, 'x': 1784.0783418570954, 'index': 11, 'vy': -0.16809005619839892, 'vx': -0.28693076366431275, 'weight': 2}",False,True,12
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'drawing_loop', 'r': 17.54952973764698, 'y': 407.2204670915736, 'x': 1906.956297791418, 'index': 9, 'vy': -0.16813784794678743, 'vx': -0.2869655356634027, 'weight': 7}",False,True,13
"{'name': 'draw_food', 'r': 22.398638404385867, 'y': 456.92843905578934, 'x': 1824.9871135536466, 'index': 8, 'vy': -0.16892211744818317, 'vx': -0.2862125256756998, 'weight': 9}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,14
"{'name': 'draw_pois', 'r': 15.270619156458231, 'y': 537.529511116591, 'x': 1948.9182060708813, 'index': 12, 'vy': -0.16668683609078833, 'vx': -0.2888103151497155, 'weight': 6}","{'name': 'drawing_loop', 'r': 17.54952973764698, 'y': 407.2204670915736, 'x': 1906.956297791418, 'index': 9, 'vy': -0.16813784794678743, 'vx': -0.2869655356634027, 'weight': 7}",False,True,15
"{'name': 'draw_pois', 'r': 15.270619156458231, 'y': 537.529511116591, 'x': 1948.9182060708813, 'index': 12, 'vy': -0.16668683609078833, 'vx': -0.2888103151497155, 'weight': 6}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,16
"{'name': 'draw_pois', 'r': 15.270619156458231, 'y': 537.529511116591, 'x': 1948.9182060708813, 'index': 12, 'vy': -0.16668683609078833, 'vx': -0.2888103151497155, 'weight': 6}","{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}",False,True,17
"{'name': 'draw_pois', 'r': 15.270619156458231, 'y': 537.529511116591, 'x': 1948.9182060708813, 'index': 12, 'vy': -0.16668683609078833, 'vx': -0.2888103151497155, 'weight': 6}","{'name': 'drawing_loop', 'r': 17.54952973764698, 'y': 407.2204670915736, 'x': 1906.956297791418, 'index': 9, 'vy': -0.16813784794678743, 'vx': -0.2869655356634027, 'weight': 7}",False,True,18
"{'name': 'draw_pois', 'r': 15.270619156458231, 'y': 537.529511116591, 'x': 1948.9182060708813, 'index': 12, 'vy': -0.16668683609078833, 'vx': -0.2888103151497155, 'weight': 6}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,19
"{'name': 'empty_cell', 'r': 11.062866266041592, 'y': 749.5675103062911, 'x': 1940.737827348995, 'index': 13, 'vy': -0.1658536840143871, 'vx': -0.29217353390023565, 'weight': 4}","{'name': 'draw_cell', 'r': 35.90056685321995, 'y': 422.9030377747604, 'x': 2129.402050248883, 'index': 2, 'vy': -0.16159353975266758, 'vx': -0.28423790217517303, 'weight': 14}",False,True,20
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'checking_loop', 'r': 15.270619156458231, 'y': 853.7276760826862, 'x': 1707.088967592394, 'index': 15, 'vy': -0.16355363482296492, 'vx': -0.30076361491267506, 'weight': 6}",False,True,21
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,22
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'continue', 'r': 24.952623149688797, 'y': 929.0258441430276, 'x': 1660.1933988258377, 'index': 16, 'vy': -0.16613423800400193, 'vx': -0.30449886241228125, 'weight': 10}",False,True,23
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'continue', 'r': 24.952623149688797, 'y': 929.0258441430276, 'x': 1660.1933988258377, 'index': 16, 'vy': -0.16613423800400193, 'vx': -0.30449886241228125, 'weight': 10}",False,True,24
