name,r,y,x,index,vy,vx,weight
1,7.462288826689832,987.7339695180261,2566.508330231014,0,-0.16451543839123028,-0.29284893889145713,2
2,7.462288826689832,920.9353671076042,2556.3249328145853,1,-0.16468752624956,-0.29297929020949276,2
draw_cell,35.90056685321995,422.9030377747604,2129.402050248883,2,-0.16159353975266758,-0.28423790217517303,14
draw_pixel,6,386.0335789339721,2185.832781720118,3,-0.1633215915336502,-0.2847356383646699,1
filling_loop,9.171167510947729,313.9409829806814,1745.1032077718717,4,-0.1723437656924,-0.2782578621546607,3
set_cx,6,336.97408155682143,2121.502193050188,5,-0.16214946111117826,-0.2839256751549163,1
draw_head,9.171167510947729,521.4771461377252,2102.7126329212865,6,-0.16117216354990513,-0.2842594032874795,3
draw_body,9.171167510947729,467.2701301191412,2053.3354212484733,7,-0.16154194315692597,-0.2838919368558429,3
draw_food,22.398638404385867,456.92843905578934,1824.9871135536466,8,-0.16892211744818317,-0.2862125256756998,9
drawing_loop,17.54952973764698,407.2204670915736,1906.956297791418,9,-0.16813784794678743,-0.2869655356634027,7
exit,50.95996414826417,801.6191602732167,1806.0558275526005,10,-0.17370137255096676,-0.2985637027987639,19
inc_bx,7.462288826689832,389.17461934803276,1784.0783418570954,11,-0.16809005619839892,-0.28693076366431275,2
draw_pois,15.270619156458231,537.529511116591,1948.9182060708813,12,-0.16668683609078833,-0.2888103151497155,6
empty_cell,11.062866266041592,749.5675103062911,1940.737827348995,13,-0.1658536840143871,-0.29217353390023565,4
food_check,35.90056685321995,779.3635291190543,1600.8080959292042,14,-0.16664698488607277,-0.30543251820119716,14
checking_loop,15.270619156458231,853.7276760826862,1707.088967592394,15,-0.16355363482296492,-0.30076361491267506,6
continue,24.952623149688797,929.0258441430276,1660.1933988258377,16,-0.16613423800400193,-0.30449886241228125,10
found,11.062866266041592,708.9390813024352,1600.4381929819301,17,-0.16719531476324467,-0.28821536994552166,4
food_beep,7.462288826689832,925.5548880961999,1366.9231707219753,18,-0.16423059532845577,-0.29771514077596745,2
update_coords,13.103282983463814,636.3532442427348,1455.1671646794564,19,-0.17305996688255706,-0.2935573471031699,5
lengthen,7.462288826689832,842.2497434415163,1489.29053301982,20,-0.16896703676897668,-0.30309614441306226,2
draw_snake,24.952623149688797,627.8831949613372,1910.7432514172913,21,-0.16551117531328127,-0.29132159000309765,10
pois_check,35.90056685321995,882.6840519639013,1570.45859209736,22,-0.16487866359340148,-0.30072925220369323,14
pois_beep,7.462288826689832,1090.2879879245752,1366.0133070400893,23,-0.16593479376456036,-0.29556973219396765,2
shorten,9.171167510947729,1073.4997673153039,1556.9624109242948,24,-0.16635372758048275,-0.2984223096599205,3
update_tail,7.462288826689832,732.4053503140835,1438.8544242210114,25,-0.17139922942127758,-0.2974942313919913,2
empty_tail,9.171167510947729,738.9437323554196,1682.8855287142267,26,-0.16608435184141568,-0.29721357663296555,3
beep,22.398638404385867,1082.1411813321506,1223.4337927088554,27,-0.16275211918761795,-0.2932541164874755,9
long_beep,19.928527864588922,1302.4603690271206,1206.3178827089594,28,-0.161853817123281,-0.2911002856934047,8
key_beep,7.462288826689832,1226.8638712648747,1511.035525549308,29,-0.16447687026175303,-0.29266752404203117,2
step_beep,7.462288826689832,876.9484736163857,1313.0601889051466,30,-0.16770718777474455,-0.2943459103770877,2
pause_beep,13.103282983463814,1136.3082944346806,1296.6567847405486,31,-0.1617178366792028,-0.2929222926731332,5
game_over_beep,11.062866266041592,1381.6043172034085,1274.5279604353696,32,-0.16251388106504616,-0.29113205006040455,4
turn_on,7.462288826689832,1217.3304870777451,1203.1561379858906,33,-0.16154856076978466,-0.2926116846795381,2
set_freq,15.270619156458231,1192.968064999888,1044.5464201765492,34,-0.15977802862023066,-0.29194788662189564,6
